video_name,tag
v_Punch_g08_c01.avi,Punch
v_Punch_g08_c02.avi,Punch
v_Punch_g08_c03.avi,Punch
v_Punch_g08_c04.avi,Punch
v_Punch_g08_c05.avi,Punch
v_Punch_g08_c06.avi,Punch
v_Punch_g08_c07.avi,Punch
v_Punch_g09_c01.avi,Punch
v_Punch_g09_c02.avi,Punch
v_Punch_g09_c03.avi,Punch
v_Punch_g09_c04.avi,Punch
v_Punch_g09_c05.avi,Punch
v_Punch_g09_c06.avi,Punch
v_Punch_g09_c07.avi,Punch
v_Punch_g10_c01.avi,Punch
v_Punch_g10_c02.avi,Punch
v_Punch_g10_c03.avi,Punch
v_Punch_g10_c04.avi,Punch
v_Punch_g10_c05.avi,Punch
v_Punch_g10_c06.avi,Punch
v_Punch_g11_c01.avi,Punch
v_Punch_g11_c02.avi,Punch
